"state","date_updated","new_cases","tot_cases","Administered","Series_Complete_Yes","Additional_Doses"
AK,"12/17/2020",3417,41855,2,0,""
AK,"12/24/2020",2223,44078,8578,0,""
AK,"12/31/2020",1724,45802,14550,0,""
AK,"01/07/2021",2026,47828,21830,0,""
AK,"01/14/2021",1973,49801,42596,0,""
AK,"01/21/2021",1377,51178,71907,0,""
AK,"01/28/2021",1181,52359,105858,0,""
AK,"02/04/2021",946,53305,129936,0,""
AK,"02/11/2021",989,54294,162273,0,""
AK,"02/18/2021",807,55101,199151,0,""
AK,"02/25/2021",885,55986,249559,0,""
AK,"03/04/2021",876,56862,276891,0,""
AK,"03/11/2021",910,57772,313365,122197,""
AK,"03/18/2021",914,58686,351093,138464,""
AK,"03/25/2021",944,59630,384503,150980,""
AK,"04/01/2021",1186,60816,411529,165325,""
AK,"04/08/2021",1208,62024,443287,186597,""
AK,"04/15/2021",1113,63137,499815,225221,""
AK,"04/22/2021",1146,64283,530134,242474,""
AK,"04/29/2021",1042,65325,550524,255008,""
AK,"05/06/2021",731,66056,567031,265869,""
AK,"05/13/2021",565,66621,578970,273310,""
AK,"05/20/2021",453,67074,593159,279464,""
AK,"05/27/2021",297,67371,605559,284731,""
AK,"06/03/2021",230,67601,614726,289158,""
AK,"06/10/2021",185,67786,625893,296184,""
AK,"06/17/2021",155,67941,636187,302820,""
AK,"06/24/2021",237,68178,643516,307246,""
AK,"07/01/2021",257,68435,660235,314489,""
AK,"07/08/2021",313,68748,679337,323717,""
AK,"07/15/2021",572,69320,685764,327289,""
AK,"07/22/2021",1199,70519,689556,329981,""
AK,"07/29/2021",1546,72065,695163,332136,""
AK,"08/05/2021",1892,73957,701729,334716,""
AK,"08/12/2021",2112,76069,706538,336622,""
AK,"08/19/2021",3001,79070,714088,339825,""
AK,"08/26/2021",3357,82427,723342,343274,0
AK,"09/02/2021",3651,86078,733429,346399,0
AK,"09/09/2021",4264,90342,749630,351799,0
AK,"09/16/2021",4887,95229,761075,355707,0
AK,"09/23/2021",6258,101487,775149,363764,0
AK,"09/30/2021",8436,109923,792368,370114,0
AK,"10/07/2021",5744,115667,807903,373411,0
AK,"10/14/2021",6177,121844,820703,376113,0
AK,"10/21/2021",5530,127374,847207,380783,37109
AK,"10/28/2021",4625,131999,863531,384105,47708
AK,"11/04/2021",4134,136133,879619,386038,59695
AK,"11/11/2021",3391,139524,906157,389235,78209
AK,"11/18/2021",2919,142443,930894,393233,89557
AK,"11/25/2021",2349,144792,946031,395164,98481
AK,"12/02/2021",1716,146508,963790,398122,107907
AK,"12/09/2021",1510,148018,985628,404199,119007
AK,"12/16/2021",1219,149237,1001669,407929,128271
AK,"12/23/2021",1046,150283,1015137,410287,136704
AK,"12/30/2021",2080,152363,1024695,412110,142456
AK,"01/06/2022",5523,157886,1033747,413827,147814
AK,"01/13/2022",12166,170052,1045775,416173,155021
AK,"01/20/2022",15735,185787,1055678,424625,160973
AK,"01/27/2022",16839,202626,1064346,426170,166328
AK,"02/03/2022",13422,216048,1065664,436875,174850
AK,"02/10/2022",8117,224165,1069743,437871,176958
AK,"02/17/2022",3958,228123,1089446,444386,180070
AK,"02/24/2022",2684,230807,1093808,445530,181923
AK,"03/03/2022",2091,232898,1096842,446380,183296
AK,"03/10/2022",2440,235338,1106099,448898,187318
AK,"03/17/2022",1407,236745,1108082,449380,188128
AK,"03/24/2022",1423,238168,1112545,450551,189845
AK,"03/31/2022",1445,239613,1115657,451313,191069
AK,"04/07/2022",1377,240990,1124251,452443,192845
AK,"04/14/2022",1237,242227,1130226,453043,193865
AK,"04/21/2022",1513,243740,1137994,454876,195254
AK,"04/28/2022",1425,245165,1143255,455411,196302
AK,"05/05/2022",1417,246582,1148357,456039,197303
AK,"05/12/2022",1539,248121,1152507,457317,199905
AK,"05/19/2022",1697,249818,1156712,457873,200659
AK,"05/26/2022",1881,251699,1161182,458442,201687
AK,"06/02/2022",1944,253643,1165055,459024,202603
AK,"06/09/2022",2057,255700,1168522,459509,203591
AK,"06/16/2022",1982,257682,1171773,459810,204412
AL,"12/17/2020",25453,305640,193,0,""
AL,"12/24/2020",28929,334569,15857,0,""
AL,"12/31/2020",22251,356820,26711,0,""
AL,"01/07/2021",27365,384185,48888,0,""
AL,"01/14/2021",26811,410996,92300,0,""
AL,"01/21/2021",18659,429655,165919,0,""
AL,"01/28/2021",19432,449087,278993,0,""
AL,"02/04/2021",15974,465061,408428,0,""
AL,"02/11/2021",10954,476015,543237,0,""
AL,"02/18/2021",7162,483177,672038,0,""
AL,"02/25/2021",6988,490165,864757,0,""
AL,"03/04/2021",6979,497144,1032171,0,""
AL,"03/11/2021",4256,501400,1209802,452746,""
AL,"03/18/2021",8065,509465,1390066,533375,""
AL,"03/25/2021",3204,512669,1579091,600666,""
AL,"04/01/2021",2684,515353,1771979,673773,""
AL,"04/08/2021",2095,517448,1976344,764450,""
AL,"04/15/2021",3311,520759,2207392,893002,""
AL,"04/22/2021",3546,524305,2394304,1010415,""
AL,"04/29/2021",2780,527085,2559938,1121348,""
AL,"05/06/2021",2374,529459,2673181,1201303,""
AL,"05/13/2021",2289,531748,2831853,1314534,""
AL,"05/20/2021",9142,540890,2939161,1382327,""
AL,"05/27/2021",1938,542828,3007387,1423605,""
AL,"06/03/2021",1760,544588,3025695,1435719,""
AL,"06/10/2021",2241,546829,3064250,1460230,""
AL,"06/17/2021",1476,548305,3253283,1546119,""
AL,"06/24/2021",1091,549396,3308713,1574676,""
AL,"07/01/2021",1583,550979,3365396,1601802,""
AL,"07/08/2021",1932,552911,3402487,1623114,""
AL,"07/15/2021",3702,556613,3448153,1645083,""
AL,"07/22/2021",7331,563944,3494632,1662812,""
AL,"07/29/2021",13519,577463,3557966,1677279,""
